model_type,model_name,dataset,avg_latency_sec,average_string_match_percentage
groq,llama-3.1-8b-instant,spider,1.0671559286117553,69.02941150502295
groq,llama-3.1-8b-instant,wikisql,2.627981309890747,82.96120351801815
groq,llama-3.3-70b-versatile,spider,1.0035199642181396,69.90842730701603
groq,llama-3.3-70b-versatile,wikisql,2.2533610248565674,84.24227177219228
groq,openai/gpt-oss-120b,spider,2.005409197807312,60.085231617810194
groq,openai/gpt-oss-120b,wikisql,2.9458699131011965,75.51304998907187
groq,openai/gpt-oss-20b,spider,1.4374098682403564,57.49438003669681
groq,openai/gpt-oss-20b,wikisql,2.459312973022461,73.71424889199396
hf,defog/llama-3-sqlcoder-8b,spider,2.8085533380508423,52.28061625810913
hf,defog/llama-3-sqlcoder-8b,wikisql,2.6448743867874147,71.78885217459346
hf,defog/sqlcoder-7b-2,spider,3.2641219663619996,49.5137751494558
hf,defog/sqlcoder-7b-2,wikisql,3.066753416061401,65.37767913087687
